,Max,Mean
0,0.633,0.17175
1,0.754,0.20075
2,0.633,0.2365
3,0.738,0.2895
4,0.775,0.43125
5,0.775,0.5695
6,0.817,0.74525
7,0.817,0.7522500000000001
8,0.889,0.796
9,0.889,0.74925
10,0.865,0.78725
11,0.928,0.8545
12,0.865,0.80825
13,0.899,0.82775
14,0.865,0.82575
15,0.899,0.7735
16,0.962,0.8182499999999999
17,0.963,0.79825
18,1.016,0.80925
19,1.016,0.8582500000000001
20,1.016,0.92225
21,1.003,0.98325
22,1.021,0.9719999999999999
23,1.046,0.9704999999999999
24,1.046,1.0185
25,1.021,0.9975
26,1.046,1.01575
27,1.053,1.02
28,1.078,1.02575
29,1.074,1.05475
30,1.078,1.0370000000000001
31,1.078,1.02575
32,1.046,1.00725
33,1.078,1.00525
34,1.021,0.9765
35,1.046,1.00825
36,1.021,0.99275
37,1.053,1.027
38,1.078,1.03475
39,1.078,1.04075
40,1.053,1.053
41,1.074,1.04225
42,1.053,1.029
43,1.053,1.02475
44,1.078,1.03075
45,1.1,1.0505
46,1.114,1.0670000000000002
47,1.114,1.05625
48,1.114,1.046
49,1.114,1.075
50,1.1,1.07525
51,1.114,1.0995
52,1.114,1.08825
53,1.101,1.0865
54,1.114,1.0487499999999998
55,1.1,1.021
56,1.11,1.0125
57,1.124,1.0145
58,1.034,0.97725
59,1.074,0.9902500000000001
60,1.025,0.978
61,1.004,0.9734999999999999
62,0.979,0.95
63,1.047,0.9735
64,1.019,0.94675
65,1.059,1.0085
66,1.047,0.99125
67,1.019,0.971
68,1.019,0.9577499999999999
69,1.059,0.9799999999999999
70,1.059,1.036
71,1.078,1.04375
72,1.078,1.04
73,1.078,1.02075
74,1.1,1.072
75,1.078,1.0545000000000002
76,1.092,1.05925
77,1.078,1.06075
78,1.092,1.0505
79,1.114,1.0842500000000002
80,1.1,1.096
81,1.114,1.08925
82,1.114,1.0915
83,1.114,1.096
84,1.1,1.0905
85,1.114,1.0975000000000001
86,1.093,1.09225
87,1.092,1.08375
88,1.092,1.0755
89,1.093,1.09225
90,1.093,1.0925
91,1.114,1.0782500000000002
92,1.079,1.051
93,1.101,1.0655
94,1.079,1.067
95,1.101,1.0465
96,1.101,1.05775
97,1.125,1.088
98,1.114,1.08575
99,1.125,1.08825
100,1.125,1.04225
